Stamm-Nr.,Rez.-Nr.,R-Nummer,ERP-Nr.,Name,Totalmenge,CAS-Nr.: - Hinweis 1,Sensorik_1,Sensorik_2,Sensorik_3,Sensorik_4,Odour Type 1 FlavourWheel,Odour Type 2 Flavour Wheel,Odour Type 3 Flavour Wheel,Threshold ppm (Datenbank),Threshold 2 ppm (Datenbank),Treshold 3 ppm (Datenbank),,
29201969,187.894P,R02041,60030486,"Ethyldecanoat, natürlich, Kosher Halal, V",0.0001280000,110-38-3,waxy,fruity,apple,brandy,warm,fruity,,"0,1",,,,
RE00429_A02,185.028,R01976,60030429_+K+,"2-Heptanon, natürlich Halal",0.0000092138,110-43-0,cheesy,fruity,spicy,herbal,floral,fruity,warm,"0,05",,,,
29201231,185.507P,R01976,60030429_+K+,"2-Heptanon, natürlich Halal",0.0000170000,110-43-0,cheesy,fruity,spicy,herbal,floral,fruity,warm,"0,05",,,,
29201573,187.507P,R02003,60030452,"Methylheptenon, natürlich Kosher; Halal V;",0.0005500000,110-93-0,citrus,green,musty,lemongrass,fresh,green,unpleasant,"0,066666667",,,,
29200042,185.237H,R01664,60030205,Hexanol Kosher Halal,0.0013860000,111-27-3,ethereal,fusel,fruity,green,green,unpleasant,,"0,5",5,,,
29200034,185.294,R01664,60030205,Hexanol Kosher Halal,0.0015570000,111-27-3,ethereal,fusel,fruity,green,green,unpleasant,,"0,5",5,,,
29200240,185.675P,R01664,60030205,Hexanol Kosher Halal,0.0050000000,111-27-3,ethereal,fusel,fruity,green,green,unpleasant,,"0,5",5,,,
29200821,186.277P,R01664,60030205,Hexanol Kosher Halal,0.0013850000,111-27-3,ethereal,fusel,fruity,green,green,unpleasant,,"0,5",5,,,
29201891,187.796P,R01664,60030205,Hexanol Kosher Halal,0.0003680000,111-27-3,ethereal,fusel,fruity,green,green,unpleasant,,"0,5",5,,,
RE00429_A02,185.028,R01949,60030406,"Hexanol, natürlich Kosher Halal",0.0001925000,111-27-3,ethereal,fusel,fruity,green,green,unpleasant,,"0,5",5,,,
29200716,185.382P,R01949,60030406,"Hexanol, natürlich Kosher Halal",0.0004600000,111-27-3,ethereal,fusel,fruity,green,green,unpleasant,,"0,5",5,,,
29201231,185.507P,R01949,60030406,"Hexanol, natürlich Kosher Halal",0.0000030000,111-27-3,ethereal,fusel,fruity,green,green,unpleasant,,"0,5",5,,,
29201573,187.507P,R01949,60030406,"Hexanol, natürlich Kosher Halal",0.0000900000,111-27-3,ethereal,fusel,fruity,green,green,unpleasant,,"0,5",5,,,
29201733,187.657P,R01949,60030406,"Hexanol, natürlich Kosher Halal",0.0047800000,111-27-3,ethereal,fusel,fruity,green,green,unpleasant,,"0,5",5,,,
29201874,187.787P,R01949,60030406,"Hexanol, natürlich Kosher Halal",0.0009750000,111-27-3,ethereal,fusel,fruity,green,green,unpleasant,,"0,5",5,,,
29201969,187.894P,R01949,60030406,"Hexanol, natürlich Kosher Halal",0.0044640000,111-27-3,ethereal,fusel,fruity,green,green,unpleasant,,"0,5",5,,,
29202513,188.412P,R01949,60030406,"Hexanol, natürlich Kosher Halal",0.0037640000,111-27-3,ethereal,fusel,fruity,green,green,unpleasant,,"0,5",5,,,
29201231,185.507P,R02068,60030504,"2-Undecanon, natürlich Halal",0.0000120000,112-12-9,fruity,waxy,creamy,fatty,unpleasant,fruity,fresh,"0,05",,,,
29202513,188.412P,R02124,60030532,"Octylacetat, natürlich Halal",0.0000700000,112-14-1,floral,green,earthy,mushroom,floral,green,unpleasant,"0,1",,,,
29201008,185.090P,R01478,60030023,2-Methylbutterysäure Halal Kosher,0.0008550000,116-53-0,Pungent,acidic,roquefort,cheesy,fruity,unpleasant,dairy,6.666666667,,,,
29200042,185.237H,R01478,60030023,2-Methylbutterysäure Halal Kosher,0.0138920000,116-53-0,Pungent,acidic,roquefort,cheesy,fruity,unpleasant,dairy,6.666666667,,,,
29200034,185.294,R01478,60030023,2-Methylbutterysäure Halal Kosher,0.0080270000,116-53-0,Pungent,acidic,roquefort,cheesy,fruity,unpleasant,dairy,6.666666667,,,,
29200048,185.309P,R01478,60030023,2-Methylbutterysäure Halal Kosher,0.0015870000,116-53-0,Pungent,acidic,roquefort,cheesy,fruity,unpleasant,dairy,6.666666667,,,,
29200533,186.190P,R01478,60030023,2-Methylbutterysäure Halal Kosher,0.0095000000,116-53-0,Pungent,acidic,roquefort,cheesy,fruity,unpleasant,dairy,6.666666667,,,,
29200821,186.277P,R01478,60030023,2-Methylbutterysäure Halal Kosher,0.0139000000,116-53-0,Pungent,acidic,roquefort,cheesy,fruity,unpleasant,dairy,6.666666667,,,,
29201778,187.694P,R01478,60030023,2-Methylbutterysäure Halal Kosher,0.0067760000,116-53-0,Pungent,acidic,roquefort,cheesy,fruity,unpleasant,dairy,6.666666667,,,,
29201891,187.796P,R01478,60030023,2-Methylbutterysäure Halal Kosher,0.0547670000,116-53-0,Pungent,acidic,roquefort,cheesy,fruity,unpleasant,dairy,6.666666667,,,,
RE00429_A02,185.028,R01975,60030428,"2-Methylbutterysäure, natürlich Kosher, Halal, BG",0.0012600000,116-53-0,Pungent,acidic,roquefort,cheesy,fruity,unpleasant,dairy,6.666666667,,,,
RE00171_A01,185.091,R01975,60030428,"2-Methylbutterysäure, natürlich Kosher, Halal, BG",0.0010800000,116-53-0,Pungent,acidic,roquefort,cheesy,fruity,unpleasant,dairy,6.666666667,,,,
29200047,185.267,R01975,60030428,"2-Methylbutterysäure, natürlich Kosher, Halal, BG",0.0232940000,116-53-0,Pungent,acidic,roquefort,cheesy,fruity,unpleasant,dairy,6.666666667,,,,
RE00734_A01,185.471,R01975,60030428,"2-Methylbutterysäure, natürlich Kosher, Halal, BG",0.0252020000,116-53-0,Pungent,acidic,roquefort,cheesy,fruity,unpleasant,dairy,6.666666667,,,,
29201231,185.507P,R01975,60030428,"2-Methylbutterysäure, natürlich Kosher, Halal, BG",0.0064980000,116-53-0,Pungent,acidic,roquefort,cheesy,fruity,unpleasant,dairy,6.666666667,,,,
29201573,187.507P,R01975,60030428,"2-Methylbutterysäure, natürlich Kosher, Halal, BG",0.0058450000,116-53-0,Pungent,acidic,roquefort,cheesy,fruity,unpleasant,dairy,6.666666667,,,,
29201733,187.657P,R01975,60030428,"2-Methylbutterysäure, natürlich Kosher, Halal, BG",0.0295760000,116-53-0,Pungent,acidic,roquefort,cheesy,fruity,unpleasant,dairy,6.666666667,,,,
29201874,187.787P,R01975,60030428,"2-Methylbutterysäure, natürlich Kosher, Halal, BG",0.0099320000,116-53-0,Pungent,acidic,roquefort,cheesy,fruity,unpleasant,dairy,6.666666667,,,,
29201895,187.800P,R01975,60030428,"2-Methylbutterysäure, natürlich Kosher, Halal, BG",0.0018170000,116-53-0,Pungent,acidic,roquefort,cheesy,fruity,unpleasant,dairy,6.666666667,,,,
29201969,187.894P,R01975,60030428,"2-Methylbutterysäure, natürlich Kosher, Halal, BG",0.0085570000,116-53-0,Pungent,acidic,roquefort,cheesy,fruity,unpleasant,dairy,6.666666667,,,,
29202004,187.916P,R01975,60030428,"2-Methylbutterysäure, natürlich Kosher, Halal, BG",0.0014930000,116-53-0,Pungent,acidic,roquefort,cheesy,fruity,unpleasant,dairy,6.666666667,,,,
29202513,188.412P,R01975,60030428,"2-Methylbutterysäure, natürlich Kosher, Halal, BG",0.0100370000,116-53-0,Pungent,acidic,roquefort,cheesy,fruity,unpleasant,dairy,6.666666667,,,,
29200042,185.237H,R01710,60030250,Maltol Kosher Halal,0.0015000000,118-71-8,caramel,cotton candy,jam,fruity,warm,fruity,,1,10,100,,
29200048,185.309P,R01710,60030250,Maltol Kosher Halal,0.0012500000,118-71-8,caramel,cotton candy,jam,fruity,warm,fruity,,1,10,100,,
29200240,185.675P,R01710,60030250,Maltol Kosher Halal,0.0110000000,118-71-8,caramel,cotton candy,jam,fruity,warm,fruity,,1,10,100,,
29200533,186.190P,R01710,60030250,Maltol Kosher Halal,0.0005390000,118-71-8,caramel,cotton candy,jam,fruity,warm,fruity,,1,10,100,,
29200821,186.277P,R01710,60030250,Maltol Kosher Halal,0.0015000000,118-71-8,caramel,cotton candy,jam,fruity,warm,fruity,,1,10,100,,
29201778,187.694P,R01710,60030250,Maltol Kosher Halal,0.0043550000,118-71-8,caramel,cotton candy,jam,fruity,warm,fruity,,1,10,100,,
29200716,185.382P,R01900,60030373,"Maltol, natürlich Kosher, Halal",0.0007813000,118-71-8,caramel,cotton candy,jam,fruity,warm,fruity,,1,10,100,,
29201231,185.507P,R01900,60030373,"Maltol, natürlich Kosher, Halal",0.0000870000,118-71-8,caramel,cotton candy,jam,fruity,warm,fruity,,1,10,100,,
29201573,187.507P,R01900,60030373,"Maltol, natürlich Kosher, Halal",0.0013486850,118-71-8,caramel,cotton candy,jam,fruity,warm,fruity,,1,10,100,,
29201733,187.657P,R01900,60030373,"Maltol, natürlich Kosher, Halal",0.0072000000,118-71-8,caramel,cotton candy,jam,fruity,warm,fruity,,1,10,100,,
29201874,187.787P,R01900,60030373,"Maltol, natürlich Kosher, Halal",0.0047902800,118-71-8,caramel,cotton candy,jam,fruity,warm,fruity,,1,10,100,,
29201895,187.800P,R01900,60030373,"Maltol, natürlich Kosher, Halal",0.0018120700,118-71-8,caramel,cotton candy,jam,fruity,warm,fruity,,1,10,100,,
29202004,187.916P,R01900,60030373,"Maltol, natürlich Kosher, Halal",0.0018120700,118-71-8,caramel,cotton candy,jam,fruity,warm,fruity,,1,10,100,,
RE00429_A02,185.028,R02136,60030541,"Methylsalicylat, natürlich Halal",0.0000011375,119-36-8,wintergreen,mint,,,fresh,unpleasant,,"0,05",,,,
29200716,185.382P,R02136,60030541,"Methylsalicylat, natürlich Halal",0.0004000000,119-36-8,wintergreen,mint,,,fresh,unpleasant,,"0,05",,,,
29200048,185.309P,R02137,60030542,Benzylbenzoat Halal,0.0001800000,120-51-4,faint,balsamic,oily,herbal,warm,balsamic,fresh,1,,,,
29200042,185.237H,R01806,60030343,Vanillin Halal Kosher,0.0180000000,121-33-5,vanilla,creamy,chocolate,,warm,woody,,1,,,,
29200048,185.309P,R01806,60030343,Vanillin Halal Kosher,0.0010000000,121-33-5,vanilla,creamy,chocolate,,warm,woody,,1,,,,
29200240,185.675P,R01806,60030343,Vanillin Halal Kosher,0.0010000000,121-33-5,vanilla,creamy,chocolate,,warm,woody,,1,,,,
29200821,186.277P,R01806,60030343,Vanillin Halal Kosher,0.0180000000,121-33-5,vanilla,creamy,chocolate,,warm,woody,,1,,,,
29201778,187.694P,R01806,60030343,Vanillin Halal,0.0039320000,121-33-5,vanilla,creamy,chocolate,,warm,woody,,1,,,,
29202868,188.740P,R01806,60030343,Vanillin Halal Kosher,0.0060000000,121-33-5,vanilla,creamy,chocolate,,warm,woody,,1,,,,
RE00171_A01,185.091,R01899,60030372,"Vanillin ex Eugenol, natürlich Halal Kosher, BG",0.0001000000,121-33-5,vanilla,creamy,chocolate,,warm,woody,,1,,,,
29200716,185.382P,R01899,60030372,"Vanillin ex Eugenol, natürlich Halal Kosher, BG",0.0009080000,121-33-5,vanilla,creamy,chocolate,,warm,woody,,1,,,,
RE00734_A01,185.471,R01899,60030372,"Vanillin ex Eugenol, natürlich Halal Kosher, BG",0.0013260000,121-33-5,vanilla,creamy,chocolate,,warm,woody,,1,,,,
29201231,185.507P,R01899,60030372,"Vanillin ex Eugenol, natürlich Halal Kosher, BG",0.0000020000,121-33-5,vanilla,creamy,chocolate,,warm,woody,,1,,,,
29201573,187.507P,R01899,60030372,"Vanillin ex Eugenol, natürlich Halal Kosher, BG",0.0003950000,121-33-5,vanilla,creamy,chocolate,,warm,woody,,1,,,,
29201733,187.657P,R01899,60030372,"Vanillin ex Eugenol, natürlich Halal Kosher, BG",0.0019610000,121-33-5,vanilla,creamy,chocolate,,warm,woody,,1,,,,
29201895,187.800P,R01899,60030372,"Vanillin ex Eugenol, natürlich Halal Kosher, BG",0.0111650000,121-33-5,vanilla,creamy,chocolate,,warm,woody,,1,,,,
29202004,187.916P,R01899,60030372,"Vanillin ex Eugenol, natürlich Halal Kosher, BG",0.0083740000,121-33-5,vanilla,creamy,chocolate,,warm,woody,,1,,,,
29202513,188.412P,R01899,60030372,"Vanillin ex Eugenol, natürlich Halal Kosher, BG",0.0000880000,121-33-5,vanilla,creamy,chocolate,,warm,woody,,1,,,,
29201231,185.507P,R02067,60030503_+K+,"Phenylacetaldehyd 10% in Ethanol, natürlich",0.0000080000,122-78-1 /  64-17-5,green,floral,hyacinth,honey,floral,warm,balsamic,1,,,,
29200048,185.309P,R01753,60030293_+K+,Anisaldehyd Halal Kosher,0.0000650000,123-11-5,powdery,mimosa,floral,hawthorn,warm,floral,,0.006666667,,,,
29201891,187.796P,R01674,60030214,Isoamylalkohol Kosher Halal,0.0000970000,123-51-3,fermented,fusel,whiskey,fruity,unpleasant,fresh,,1,,,,
RE00734_A01,185.471,R01902,60030375,"Isoamylalkohol, natürlich Kosher Halal",0.0001000000,123-51-3,fermented,fusel,whiskey,fruity,unpleasant,fresh,,1,,,,
29201573,187.507P,R01902,60030375,"Isoamylalkohol, natürlich Kosher Halal",0.0005750000,123-51-3,fermented,fusel,whiskey,fruity,unpleasant,fresh,,1,,,,
29201969,187.894P,R01902,60030375,"Isoamylalkohol, natürlich Kosher Halal",0.0000840000,123-51-3,fermented,fusel,whiskey,fruity,unpleasant,fresh,,1,,,,
29201008,185.090P,R01618,60030159,Ethylhexanoat Halal Kosher,0.0043500000,123-66-0,fruity,pineapple,waxy,green,fruity,exotic,balsamic,"0,1",,,,
29200042,185.237H,R01618,60030159,Ethylhexanoat Halal Kosher,0.0024260000,123-66-0,fruity,pineapple,waxy,green,fruity,exotic,balsamic,"0,1",,,,
29200034,185.294,R01618,60030159,Ethylhexanoat Halal Kosher,0.0037690000,123-66-0,fruity,pineapple,waxy,green,fruity,exotic,balsamic,"0,1",,,,
29200048,185.309P,R01618,60030159,Ethylhexanoat Halal Kosher,0.0002400000,123-66-0,fruity,pineapple,waxy,green,fruity,exotic,balsamic,"0,1",,,,
29200240,185.675P,R01618,60030159,Ethylhexanoat Halal Kosher,0.0006660000,123-66-0,fruity,pineapple,waxy,green,fruity,exotic,balsamic,"0,1",,,,
29200533,186.190P,R01618,60030159,Ethylhexanoat Halal Kosher,0.0006860000,123-66-0,fruity,pineapple,waxy,green,fruity,exotic,balsamic,"0,1",,,,
29200821,186.277P,R01618,60030159,Ethylhexanoat Halal Kosher,0.0024250000,123-66-0,fruity,pineapple,waxy,green,fruity,exotic,balsamic,"0,1",,,,
29201778,187.694P,R01618,60030159,Ethylhexanoat Halal,0.0036470000,123-66-0,fruity,pineapple,waxy,green,fruity,exotic,balsamic,"0,1",,,,
29201891,187.796P,R01618,60030159,Ethylhexanoat Halal Kosher,0.0225020000,123-66-0,fruity,pineapple,waxy,green,fruity,exotic,balsamic,"0,1",,,,
29202868,188.740P,R01618,60030159,Ethylhexanoat Halal Kosher,0.0010000000,123-66-0,fruity,pineapple,waxy,green,fruity,exotic,balsamic,"0,1",,,,
RE00429_A02,185.028,R01941,60030399,"Ethylhexanoat, natürlich Kosher Halal",0.0004025000,123-66-0,fruity,pineapple,waxy,green,fruity,exotic,balsamic,"0,1",,,,
RE00171_A01,185.091,R01941,60030399,"Ethylhexanoat, natürlich Kosher Halal",0.0063000000,123-66-0,fruity,pineapple,waxy,green,fruity,exotic,balsamic,"0,1",,,,
29200047,185.267,R01941,60030399,"Ethylhexanoat, natürlich Kosher Halal",0.0101650000,123-66-0,fruity,pineapple,waxy,green,fruity,exotic,balsamic,"0,1",,,,
RE00734_A01,185.471,R01941,60030399,"Ethylhexanoat, natürlich Kosher Halal",0.0283860000,123-66-0,fruity,pineapple,waxy,green,fruity,exotic,balsamic,"0,1",,,,
29201231,185.507P,R01941,60030399,"Ethylhexanoat, natürlich Kosher Halal",0.0036600000,123-66-0,fruity,pineapple,waxy,green,fruity,exotic,balsamic,"0,1",,,,
29201573,187.507P,R01941,60030399,"Ethylhexanoat, natürlich Kosher Halal",0.0050570000,123-66-0,fruity,pineapple,waxy,green,fruity,exotic,balsamic,"0,1",,,,
29201733,187.657P,R01941,60030399,"Ethylhexanoat, natürlich Kosher Halal",0.0027650000,123-66-0,fruity,pineapple,waxy,green,fruity,exotic,balsamic,"0,1",,,,
29201874,187.787P,R01941,60030399,"Ethylhexanoat, natürlich Kosher Halal",0.0136480000,123-66-0,fruity,pineapple,waxy,green,fruity,exotic,balsamic,"0,1",,,,
29201895,187.800P,R01941,60030399,"Ethylhexanoat, natürlich Kosher Halal",0.0013220000,123-66-0,fruity,pineapple,waxy,green,fruity,exotic,balsamic,"0,1",,,,
29201953,187.886P,R01941,60030399,"Ethylhexanoat, natürlich Kosher Halal",0.0081000000,123-66-0,fruity,pineapple,waxy,green,fruity,exotic,balsamic,"0,1",,,,
29201969,187.894P,R01941,60030399,"Ethylhexanoat, natürlich Kosher Halal",0.0051680000,123-66-0,fruity,pineapple,waxy,green,fruity,exotic,balsamic,"0,1",,,,
29202004,187.916P,R01941,60030399,"Ethylhexanoat, natürlich Kosher Halal",0.0013220000,123-66-0,fruity,pineapple,waxy,green,fruity,exotic,balsamic,"0,1",,,,
29202513,188.412P,R01941,60030399,"Ethylhexanoat, natürlich Kosher Halal",0.0037780000,123-66-0,fruity,pineapple,waxy,green,fruity,exotic,balsamic,"0,1",,,,
29201231,185.507P,R01545,60030087,"Butylacetat, natürlich Kosher Halal BG",0.0000120000,123-86-4,ethereal,solvent,fruity,banana,fresh,fruity,,"0,1",,,,
29201573,187.507P,R01545,60030087,"Butylacetat, natürlich Kosher Halal BG",0.0003980000,123-86-4,ethereal,solvent,fruity,banana,fresh,fruity,,"0,1",,,,
29200048,185.309P,R01673,60030213,Isoamylacetat Halal Kosher,0.0001950000,123-92-2,fruity,banana,solvent,,warm,fruity,balsamic,"0,066666667",,,,
29201891,187.796P,R01673,60030213,Isoamylacetat Halal Kosher,0.0011750000,123-92-2,fruity,banana,solvent,,warm,fruity,balsamic,"0,066666667",,,,
RE00429_A02,185.028,R01962,60030415,"Isoamylacetat, natürlich Kosher Halal BG",0.0000700000,123-92-2,fruity,banana,solvent,,warm,fruity,balsamic,"0,066666667",,,,
RE00734_A01,185.471,R01962,60030415,"Isoamylacetat, natürlich Kosher Halal BG",0.0009340000,123-92-2,fruity,banana,solvent,,warm,fruity,balsamic,"0,066666667",,,,
29200533,186.190P,R01748,60030288,Octansäure Halal Kosher,0.0016500000,124-07-2,fatty,waxy,rancid,oily,warm,fresh,unpleasant,"0,5",,,,
29201778,187.694P,R01748,60030288,Octansäure Halal,0.0000250000,124-07-2,fatty,waxy,rancid,oily,warm,fresh,unpleasant,"0,5",,,,
RE00429_A02,185.028,R01911,60030384,"Octansäure, natürlich Kosher Halal",0.0000437500,124-07-2,fatty,waxy,rancid,oily,warm,fresh,unpleasant,"0,5",,,,
RE00171_A01,185.091,R01911,60030384,"Octansäure, natürlich Kosher Halal",0.0009600000,124-07-2,fatty,waxy,rancid,oily,warm,fresh,unpleasant,"0,5",,,,
29201231,185.507P,R01911,60030384,"Octansäure, natürlich Kosher Halal",0.0000030000,124-07-2,fatty,waxy,rancid,oily,warm,fresh,unpleasant,"0,5",,,,
29201969,187.894P,R01911,60030384,"Octansäure, natürlich Kosher Halal",0.0029600000,124-07-2,fatty,waxy,rancid,oily,warm,fresh,unpleasant,"0,5",,,,
29201231,185.507P,R01988,60030440_+K+,"Octanal, natürlich Halal BG V",0.0000040000,124-13-0,aldehydic,waxy,citrus,orange,warm,fresh,fruity,"0,05",,,,
29200048,185.309P,R01510,60030054,alpha-Ionon Halal Kosher,0.0000900000,127-41-3,floral,woody,violet,orris,woody,floral,,"0,001",,,,
29201891,187.796P,R02268,60030623,trans-2-Hexensäure Kosher Halal,0.0014780000,13419-69-7,fruity,sweet,warm,herbal,fruity,fresh,warm,"0,5",,,,
29200240,185.675P,R01718,60030258,Methylanthranilat Halal,0.0001760000,134-20-3,Musty,neroli,grape,concord,floral,woody,unpleasant,"0,006666667",0.06666667,0.66666667,,
29200533,186.190P,R01718,60030258,Methylanthranilat Halal,0.0000140000,134-20-3,Musty,neroli,grape,concord,floral,woody,unpleasant,"0,006666667",0.06666667,0.66666667,,
29201231,185.507P,R02072,60030508,"Methylanthranilat, natürlich Halal",0.0000240000,134-20-3,Musty,neroli,grape,concord,floral,woody,unpleasant,"0,006666667",0.06666667,0.66666667,,
29201874,187.787P,R02072,60030508,"Methylanthranilat, natürlich Halal",0.0001510000,134-20-3,Musty,neroli,grape,concord,floral,woody,unpleasant,"0,006666667",0.06666667,0.66666667,,
29201953,187.886P,R02072,60030508,"Methylanthranilat, natürlich Halal",0.0001830000,134-20-3,Musty,neroli,grape,concord,floral,woody,unpleasant,"0,006666667",0.06666667,0.66666667,,
29201969,187.894P,R02072,60030508,"Methylanthranilat, natürlich Halal",0.0036400000,134-20-3,Musty,neroli,grape,concord,floral,woody,unpleasant,"0,006666667",0.06666667,0.66666667,,
29201969,187.894P,R02145,60030545_+K+,"Linalooloxid, natürlich Halal",0.0000400000,1365-19-1,woody,floral,creamy,minty,woody,floral,warm,1,,,,
29200048,185.309P,R01526,60030069,Benzylacetat Halal Kosher,0.0002750000,140-11-4,floral,fruity,jasmin,fresh,floral,fruity,fresh,"0,5",,,,
29200240,185.675P,R01526,60030069,Benzylacetat Halal Kosher,0.0000580000,140-11-4,floral,fruity,jasmin,fresh,floral,fruity,fresh,"0,5",,,,
29200533,186.190P,R01526,60030069,Benzylacetat Halal Kosher,0.0000080000,140-11-4,floral,fruity,jasmin,fresh,floral,fruity,fresh,"0,5",,,,
29201891,187.796P,R01526,60030069,Benzylacetat Halal Kosher,0.0016580000,140-11-4,floral,fruity,jasmin,fresh,floral,fruity,fresh,"0,5",,,,
RE00171_A01,185.091,R01943,60030401,"Benzylacetat, natürlich Kosher Halal",0.0001200000,140-11-4,floral,fruity,jasmin,fresh,floral,fruity,fresh,"0,5",,,,
29200716,185.382P,R01943,60030401,"Benzylacetat, natürlich Kosher Halal",0.0000560000,140-11-4,floral,fruity,jasmin,fresh,floral,fruity,fresh,"0,5",,,,
