Rez.-Nr.,PC1_score,PC1_top1_cas,PC1_top1_name,PC1_top1_contrib,PC1_top2_cas,PC1_top2_name,PC1_top2_contrib,PC1_top3_cas,PC1_top3_name,PC1_top3_contrib,PC1_top4_cas,PC1_top4_name,PC1_top4_contrib,PC1_top5_cas,PC1_top5_name,PC1_top5_contrib,PC2_score,PC2_top1_cas,PC2_top1_name,PC2_top1_contrib,PC2_top2_cas,PC2_top2_name,PC2_top2_contrib,PC2_top3_cas,PC2_top3_name,PC2_top3_contrib,PC2_top4_cas,PC2_top4_name,PC2_top4_contrib,PC2_top5_cas,PC2_top5_name,PC2_top5_contrib,PC3_score,PC3_top1_cas,PC3_top1_name,PC3_top1_contrib,PC3_top2_cas,PC3_top2_name,PC3_top2_contrib,PC3_top3_cas,PC3_top3_name,PC3_top3_contrib,PC3_top4_cas,PC3_top4_name,PC3_top4_contrib,PC3_top5_cas,PC3_top5_name,PC3_top5_contrib,PC4_score,PC4_top1_cas,PC4_top1_name,PC4_top1_contrib,PC4_top2_cas,PC4_top2_name,PC4_top2_contrib,PC4_top3_cas,PC4_top3_name,PC4_top3_contrib,PC4_top4_cas,PC4_top4_name,PC4_top4_contrib,PC4_top5_cas,PC4_top5_name,PC4_top5_contrib
185.046,-0.9238,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.25127,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,-0.18909,142-62-1,Hexansäure kräftig,-0.1715,123-66-0,Ethylhexanoat Halal,-0.16775,110-43-0,2-Heptanon Halal,-0.1651,1.9557,928-96-1,cis-3-Hexen-1-ol Halal Kosher,1.18959,109-21-7,Butylbutyrat Halal,0.37311,110-43-0,2-Heptanon Halal,0.37258,1754-62-7,Methyl-trans-cinnamat Halal,-0.11975,3658-77-3,Furaneol Halal,0.09548,-0.6284,8022-96-6,Jasmin-Absolue (blumig) Halal,-0.19713,110-43-0,2-Heptanon Halal,-0.12752,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.12627,109-21-7,Butylbutyrat Halal,-0.12528,1754-62-7,Methyl-trans-cinnamat Halal,-0.10567,0.183,659-70-1,Isoamylisovalerat Kosher Halal,-0.09831,3658-77-3,Furaneol Halal,0.09348,123-66-0,Ethylhexanoat Halal,0.09,111-27-3,Hexanol Kosher Halal,-0.08422,142-92-7,Hexylacetat Kosher Halal,-0.07831
185.086,-0.9311,600-14-6,Acetylpropionyl Halal,-0.21629,142-62-1,Hexansäure kräftig,-0.1715,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,-0.13272,105-54-4,Ethylbutyrat Kosher Halal,0.11296,68917-33-9,Zitronenterpene Kosher Halal,0.11273,-0.8034,600-14-6,Acetylpropionyl Halal,-0.23205,106-32-1,Ethyloctanoat Halal Kosher,0.17926,706-14-9,gamma-Decalacton Kosher Halal,-0.17477,68917-33-9,Zitronenterpene Kosher Halal,-0.12731,1754-62-7,Methyl-trans-cinnamat Halal,-0.11975,0.1475,16491-36-4,cis-3-Hexenylbutyrat Halal,0.19148,106-32-1,Ethyloctanoat Halal Kosher,-0.18633,513-86-0,Acetoin 50% in PG Kosher Halal,0.17326,1754-62-7,Methyl-trans-cinnamat Halal,-0.10567,141-78-6,Ethylacetat Kosher Halal,-0.08614,0.5344,106-32-1,Ethyloctanoat Halal Kosher,0.2181,68917-33-9,Zitronenterpene Kosher Halal,0.12941,659-70-1,Isoamylisovalerat Kosher Halal,-0.09831,111-27-3,Hexanol Kosher Halal,-0.08422,16491-36-4,cis-3-Hexenylbutyrat Halal,0.08407
185.090P,-1.6039,105-54-4,Ethylbutyrat Kosher Halal,-0.30746,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,-0.18909,116-53-0,2-Methylbuttersäure Halal Kosher,-0.17607,706-14-9,gamma-Decalacton Kosher Halal,-0.13692,123-66-0,Ethylhexanoat Halal,-0.08769,-1.0514,97-62-1,Ethylisobutyrat Halal,-0.3094,928-96-1,cis-3-Hexen-1-ol Halal Kosher,-0.24629,706-14-9,gamma-Decalacton Kosher Halal,-0.22332,105-54-4,Ethylbutyrat Kosher Halal,0.1466,1754-62-7,Methyl-trans-cinnamat Halal,-0.09519,-0.3805,97-62-1,Ethylisobutyrat Halal,-0.1083,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,0.0981,116-53-0,2-Methylbuttersäure Halal Kosher,0.08755,1754-62-7,Methyl-trans-cinnamat Halal,-0.08399,141-78-6,Ethylacetat Kosher Halal,-0.07127,-0.027,659-70-1,Isoamylisovalerat Kosher Halal,-0.09831,706-14-9,gamma-Decalacton Kosher Halal,0.09768,111-27-3,Hexanol Kosher Halal,-0.08422,142-92-7,Hexylacetat Kosher Halal,-0.07831,105-54-4,Ethylbutyrat Kosher Halal,0.06968
185.091,-6.4954,106-30-9,Ethylheptanoat,-1.40322,16409-45-3,Menthylacetat,-1.36682,623-70-1,Ethyl-trans-2-crotonat,-1.14801,10032-15-2,Hexyl-2-methylbutyrat Halal Kosher,-1.14801,105-54-4,Ethylbutyrat Kosher Halal,-0.28173,0.522,106-30-9,Ethylheptanoat,0.34924,16409-45-3,Menthylacetat,0.34417,706-14-9,gamma-Decalacton Kosher Halal,-0.18758,928-96-1,cis-3-Hexen-1-ol Halal Kosher,-0.14083,105-54-4,Ethylbutyrat Kosher Halal,0.13433,-2.6562,106-30-9,Ethylheptanoat,-0.73484,16409-45-3,Menthylacetat,-0.73139,623-70-1,Ethyl-trans-2-crotonat,-0.52945,10032-15-2,Hexyl-2-methylbutyrat Halal Kosher,-0.52945,1754-62-7,Methyl-trans-cinnamat Halal,-0.10567,-5.0552,106-30-9,Ethylheptanoat,-1.45615,16409-45-3,Menthylacetat,-1.27591,623-70-1,Ethyl-trans-2-crotonat,-1.0476,10032-15-2,Hexyl-2-methylbutyrat Halal Kosher,-1.0476,624-41-9,2-Methylbutylacetat Kosher Halal,-0.17897
185.133,-3.054,67-63-0,Isopropanol Halal,-0.81601,626-77-7,Propylhexanoat,-0.80677,106-30-9,Ethylheptanoat,-0.3476,116-53-0,2-Methylbuttersäure Halal Kosher,-0.18811,142-62-1,Hexansäure kräftig,-0.1413,-1.6872,626-77-7,Propylhexanoat,-0.35756,67-63-0,Isopropanol Halal,-0.35633,928-96-1,cis-3-Hexen-1-ol Halal Kosher,-0.24878,706-14-9,gamma-Decalacton Kosher Halal,-0.12423,1754-62-7,Methyl-trans-cinnamat Halal,-0.11975,-2.0581,67-63-0,Isopropanol Halal,-0.64254,626-77-7,Propylhexanoat,-0.6345,106-30-9,Ethylheptanoat,-0.18203,1754-62-7,Methyl-trans-cinnamat Halal,-0.10567,103-26-4,Methyl-trans-cinnamat,-0.0987,-2.0228,67-63-0,Isopropanol Halal,-0.71787,626-77-7,Propylhexanoat,-0.70658,106-30-9,Ethylheptanoat,-0.36071,659-70-1,Isoamylisovalerat Kosher Halal,-0.09831,111-27-3,Hexanol Kosher Halal,-0.08422
185.237H,-0.5344,110-19-0,Isobutylacetat Halal,0.31121,105-54-4,Ethylbutyrat Kosher Halal,-0.23549,123-66-0,Ethylhexanoat Halal,-0.11894,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,-0.1073,706-14-9,gamma-Decalacton Kosher Halal,-0.09863,-0.4771,706-14-9,gamma-Decalacton Kosher Halal,-0.16087,110-19-0,Isobutylacetat Halal,-0.15507,928-96-1,cis-3-Hexen-1-ol Halal Kosher,-0.13221,105-54-4,Ethylbutyrat Kosher Halal,0.11228,121-33-5,Vanillin ex Eugenol,-0.08327,0.353,64-18-6,Ameisensäure 80%,0.26805,121-33-5,Vanillin ex Eugenol,0.1633,141-78-6,Ethylacetat Kosher Halal,-0.09291,142-92-7,Hexylacetat Kosher Halal,0.08565,110-19-0,Isobutylacetat Halal,0.083,0.6407,121-33-5,Vanillin ex Eugenol,0.21897,142-92-7,Hexylacetat Kosher Halal,0.12417,64-18-6,Ameisensäure 80%,0.10843,659-70-1,Isoamylisovalerat Kosher Halal,-0.09831,706-14-9,gamma-Decalacton Kosher Halal,0.07036
185.239,-0.9354,123-66-0,Ethylhexanoat Halal,0.22218,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,-0.18909,116-53-0,2-Methylbuttersäure Halal Kosher,-0.18811,142-62-1,Hexansäure kräftig,-0.1715,1754-62-7,Methyl-trans-cinnamat Halal,0.14135,1.6631,868-57-5,Methyl-2-methylbutyrat,0.49836,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.39831,1754-62-7,Methyl-trans-cinnamat Halal,0.33684,75-07-0,Acetaldehyd Halal Kosher,0.26779,124-07-2,Octansäure,0.24939,3.2001,75-07-0,Acetaldehyd Halal Kosher,0.6667,868-57-5,Methyl-2-methylbutyrat,0.65337,109-94-4,Ethylformiat Halal,0.50756,1754-62-7,Methyl-trans-cinnamat Halal,0.29722,124-07-2,Octansäure,0.26702,-1.0659,75-07-0,Acetaldehyd Halal Kosher,-0.30727,109-94-4,Ethylformiat Halal,-0.18587,3658-77-3,Furaneol Halal,0.16944,868-57-5,Methyl-2-methylbutyrat,-0.15447,1754-62-7,Methyl-trans-cinnamat Halal,-0.14914
185.267,0.0447,142-62-1,Hexansäure kräftig,0.2184,105-54-4,Ethylbutyrat Kosher Halal,-0.19113,75-18-3,Dimethylsulfid,0.16629,78-70-6,Linalool ex HO,0.1385,116-53-0,2-Methylbuttersäure Halal Kosher,0.10422,-0.6171,75-18-3,Dimethylsulfid,-0.25429,6728-26-3,trans-2-Hexenal Kosher Halal,0.23264,78-70-6,Linalool ex HO,0.18825,928-96-1,cis-3-Hexen-1-ol Halal Kosher,-0.17719,1754-62-7,Methyl-trans-cinnamat Halal,-0.11975,-1.1413,75-18-3,Dimethylsulfid,-0.276,78-70-6,Linalool ex HO,-0.27489,6728-26-3,trans-2-Hexenal Kosher Halal,0.22938,1754-62-7,Methyl-trans-cinnamat Halal,-0.10567,142-62-1,Hexansäure kräftig,-0.10388,-0.2872,75-18-3,Dimethylsulfid,-0.12379,659-70-1,Isoamylisovalerat Kosher Halal,-0.09831,78-70-6,Linalool ex HO,0.09513,111-27-3,Hexanol Kosher Halal,-0.08422,142-92-7,Hexylacetat Kosher Halal,-0.07831
185.291,-1.343,105-54-4,Ethylbutyrat Kosher Halal,-0.26115,142-62-1,Hexansäure kräftig,-0.1715,116-53-0,2-Methylbuttersäure Halal Kosher,-0.14491,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,-0.12158,123-66-0,Ethylhexanoat Halal,-0.11125,-0.5217,706-14-9,gamma-Decalacton Kosher Halal,-0.13735,105-54-4,Ethylbutyrat Kosher Halal,0.12452,1754-62-7,Methyl-trans-cinnamat Halal,-0.11975,928-96-1,cis-3-Hexen-1-ol Halal Kosher,-0.10554,100-52-7,Benzaldehyd Kosher Halal,-0.0826,-0.111,1754-62-7,Methyl-trans-cinnamat Halal,-0.10567,141-78-6,Ethylacetat Kosher Halal,-0.09291,142-62-1,Hexansäure kräftig,0.08157,64-19-7,Essigsäure Halal Kosher,-0.07821,142-92-7,Hexylacetat Kosher Halal,0.07365,0.0988,142-92-7,Hexylacetat Kosher Halal,0.10677,659-70-1,Isoamylisovalerat Kosher Halal,-0.09831,111-27-3,Hexanol Kosher Halal,-0.08422,121-33-5,Vanillin ex Eugenol,-0.06966,3658-77-3,Furaneol Halal,-0.06464
185.294,-0.5126,106-32-1,Ethyloctanoat Halal Kosher,0.16706,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,-0.12864,706-14-9,gamma-Decalacton Kosher Halal,-0.11506,142-62-1,Hexansäure kräftig,0.10008,513-86-0,Acetoin 50% in PG Kosher Halal,-0.08713,-0.5643,106-32-1,Ethyloctanoat Halal Kosher,0.26657,431-03-8,Diacetyl Halal,-0.26209,706-14-9,gamma-Decalacton Kosher Halal,-0.18767,1754-62-7,Methyl-trans-cinnamat Halal,-0.11768,111-27-3,Hexanol Kosher Halal,0.08403,-0.1005,106-32-1,Ethyloctanoat Halal Kosher,-0.27709,431-03-8,Diacetyl Halal,0.26439,513-86-0,Acetoin 50% in PG Kosher Halal,0.16639,16491-36-4,cis-3-Hexenylbutyrat Halal,0.13533,1754-62-7,Methyl-trans-cinnamat Halal,-0.10384,1.1696,431-03-8,Diacetyl Halal,0.51589,106-32-1,Ethyloctanoat Halal Kosher,0.32433,111-27-3,Hexanol Kosher Halal,0.11263,659-70-1,Isoamylisovalerat Kosher Halal,-0.09831,706-14-9,gamma-Decalacton Kosher Halal,0.08209
185.314,-0.7171,105-54-4,Ethylbutyrat Kosher Halal,-0.1454,142-62-1,Hexansäure kräftig,-0.13373,659-70-1,Isoamylisovalerat Kosher Halal,0.13236,106-22-9,Citronellol,-0.12675,123-66-0,Ethylhexanoat Halal,-0.09804,-0.193,659-70-1,Isoamylisovalerat Kosher Halal,0.1344,1754-62-7,Methyl-trans-cinnamat Halal,-0.11975,928-96-1,cis-3-Hexen-1-ol Halal Kosher,-0.09368,103-26-4,Methyl-trans-cinnamat,-0.07446,105-54-4,Ethylbutyrat Kosher Halal,0.06933,-0.7863,106-22-9,Citronellol,-0.15673,1754-62-7,Methyl-trans-cinnamat Halal,-0.10567,103-26-4,Methyl-trans-cinnamat,-0.09241,141-78-6,Ethylacetat Kosher Halal,-0.08349,659-70-1,Isoamylisovalerat Kosher Halal,-0.08051,0.7475,659-70-1,Isoamylisovalerat Kosher Halal,0.22463,106-22-9,Citronellol,0.15491,142-92-7,Hexylacetat Kosher Halal,0.10529,3658-77-3,Furaneol Halal,-0.06337,1754-62-7,Methyl-trans-cinnamat Halal,0.05302
185.321,1.2389,3681-71-8,cis-3-Hexenylacetat Halal Kosher,0.7465,706-14-9,gamma-Decalacton Kosher Halal,0.26972,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,0.24728,1754-62-7,Methyl-trans-cinnamat Halal,0.22657,6378-65-0,Hexylhexanoat Kosher Halal,0.21674,1.589,1754-62-7,Methyl-trans-cinnamat Halal,0.53991,706-14-9,gamma-Decalacton Kosher Halal,0.43991,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.38927,6378-65-0,Hexylhexanoat Kosher Halal,0.30218,3681-71-8,cis-3-Hexenylacetat Halal Kosher,0.18485,1.6379,3681-71-8,cis-3-Hexenylacetat Halal Kosher,0.75114,1754-62-7,Methyl-trans-cinnamat Halal,0.47641,6378-65-0,Hexylhexanoat Kosher Halal,0.32397,16491-36-4,cis-3-Hexenylbutyrat Halal,0.17817,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,-0.12829,-1.0269,3681-71-8,cis-3-Hexenylacetat Halal Kosher,-0.28249,1754-62-7,Methyl-trans-cinnamat Halal,-0.23905,6378-65-0,Hexylhexanoat Kosher Halal,-0.21006,706-14-9,gamma-Decalacton Kosher Halal,-0.19242,123-66-0,Ethylhexanoat Halal,-0.10366
185.471,5.6597,103-36-6,Ethylcinnamat Halal,0.97298,8016-03-3,Davana-Öl,0.81117,78-83-1,Isobutanol Halal,0.80123,105-54-4,Ethylbutyrat Kosher Halal,0.79628,123-66-0,Ethylhexanoat Halal,0.67319,-3.6388,8016-03-3,Davana-Öl,-0.698,103-36-6,Ethylcinnamat Halal,-0.66928,78-83-1,Isobutanol Halal,-0.4755,105-54-4,Ethylbutyrat Kosher Halal,-0.37968,123-66-0,Ethylhexanoat Halal,-0.34551,-1.087,8016-03-3,Davana-Öl,-0.19317,116-53-0,2-Methylbuttersäure Halal Kosher,-0.19031,141-78-6,Ethylacetat Kosher Halal,0.1723,27625-35-0,Isoamyl-2-methylbutyrat,-0.17046,103-26-4,Methyl-trans-cinnamat,-0.16732,-2.1697,78-83-1,Isobutanol Halal,-0.46856,103-36-6,Ethylcinnamat Halal,-0.46819,8016-03-3,Davana-Öl,-0.40038,123-66-0,Ethylhexanoat Halal,-0.36119,105-54-4,Ethylbutyrat Kosher Halal,-0.18047
185.514,-7.5547,123-25-1,Diethylsuccinat,-1.33524,98-85-1,Styralylalkohol Halal,-1.33524,93-92-5,Styralylacetat Halal,-1.11604,16409-45-3,Menthylacetat,-0.95937,67-63-0,Isopropanol Halal,-0.66648,-1.9761,123-25-1,Diethylsuccinat,-0.37701,98-85-1,Styralylalkohol Halal,-0.37701,67-63-0,Isopropanol Halal,-0.29103,626-77-7,Propylhexanoat,-0.27036,928-96-1,cis-3-Hexen-1-ol Halal Kosher,-0.24699,-5.4274,93-92-5,Styralylacetat Halal,-1.24937,98-85-1,Styralylalkohol Halal,-1.08183,123-25-1,Diethylsuccinat,-1.08183,67-63-0,Isopropanol Halal,-0.5248,16409-45-3,Menthylacetat,-0.51336,-6.2713,123-25-1,Diethylsuccinat,-1.2996,98-85-1,Styralylalkohol Halal,-1.2996,93-92-5,Styralylacetat Halal,-0.99526,16409-45-3,Menthylacetat,-0.89556,67-63-0,Isopropanol Halal,-0.58632
185.578P,2.705,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,0.56695,5471-51-2,Himbeerketon Halal,0.54349,14901-07-6,beta-Ionon Halal Kosher,0.47808,68917-33-9,Zitronenterpene Kosher Halal,0.39624,79-09-4,Propionsäure Kosher Halal,0.31715,-2.3054,5471-51-2,Himbeerketon Halal,-0.45387,68917-33-9,Zitronenterpene Kosher Halal,-0.4475,14901-07-6,beta-Ionon Halal Kosher,-0.43984,431-03-8,Diacetyl Halal,-0.37787,659-70-1,Isoamylisovalerat Kosher Halal,0.26125,0.1232,64-19-7,Essigsäure Halal Kosher,0.39883,431-03-8,Diacetyl Halal,0.38118,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,-0.29414,5471-51-2,Himbeerketon Halal,0.27509,79-09-4,Propionsäure Kosher Halal,-0.20485,2.2215,431-03-8,Diacetyl Halal,0.74377,14901-07-6,beta-Ionon Halal Kosher,0.46037,68917-33-9,Zitronenterpene Kosher Halal,0.45486,659-70-1,Isoamylisovalerat Kosher Halal,0.43664,5471-51-2,Himbeerketon Halal,-0.40289
185.615,1.4563,79-09-4,Propionsäure Kosher Halal,0.50564,105-54-4,Ethylbutyrat Kosher Halal,0.44182,108-64-5,Ethylisovalerat Kosher Halal,0.30834,142-62-1,Hexansäure kräftig,0.30411,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,0.26004,-1.6568,79-09-4,Propionsäure Kosher Halal,-0.32995,13532-18-8,Methyl-3-(methylthio)propionat,-0.31609,108-64-5,Ethylisovalerat Kosher Halal,-0.31094,104-67-6,gamma-Undecalacton Halal,-0.27744,706-14-9,gamma-Decalacton Kosher Halal,-0.23809,-1.5846,108-64-5,Ethylisovalerat Kosher Halal,-0.33205,79-09-4,Propionsäure Kosher Halal,-0.3266,13532-18-8,Methyl-3-(methylthio)propionat,-0.31586,1754-62-7,Methyl-trans-cinnamat Halal,0.19955,104-67-6,gamma-Undecalacton Halal,-0.19441,0.9577,108-64-5,Ethylisovalerat Kosher Halal,0.54726,79-09-4,Propionsäure Kosher Halal,0.23536,13532-18-8,Methyl-3-(methylthio)propionat,0.19846,706-14-9,gamma-Decalacton Kosher Halal,0.10414,105-54-4,Ethylbutyrat Kosher Halal,-0.10014
185.621P,-0.2805,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,0.15808,116-53-0,2-Methylbuttersäure Halal Kosher,-0.08398,105-54-4,Ethylbutyrat Kosher Halal,-0.08124,123-92-2,Isoamylacetat Halal,-0.07675,2445-77-4,2-Methylbutylisovalerat,-0.05637,0.4373,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.14872,1754-62-7,Methyl-trans-cinnamat Halal,0.08473,100-52-7,Benzaldehyd Kosher Halal,-0.0826,142-92-7,Hexylacetat Kosher Halal,0.08214,24851-98-7,Methyldihydrojasmonat,0.08065,0.2577,2445-77-4,2-Methylbutylisovalerat,0.16853,142-92-7,Hexylacetat Kosher Halal,0.10799,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,-0.08201,1754-62-7,Methyl-trans-cinnamat Halal,0.07476,103-26-4,Methyl-trans-cinnamat,0.07027,0.4104,142-92-7,Hexylacetat Kosher Halal,0.15657,659-70-1,Isoamylisovalerat Kosher Halal,0.08313,111-27-3,Hexanol Kosher Halal,-0.0802,123-92-2,Isoamylacetat Halal,0.05144,431-03-8,Diacetyl Halal,-0.04403
185.644P,-0.2284,120-72-9,Indol Halal,0.13543,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,0.09993,105-54-4,Ethylbutyrat Kosher Halal,-0.08912,116-53-0,2-Methylbuttersäure Halal Kosher,-0.08151,123-92-2,Isoamylacetat Halal,-0.07675,0.3993,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.1295,24851-98-7,Methyldihydrojasmonat,0.09682,100-52-7,Benzaldehyd Kosher Halal,-0.0826,142-92-7,Hexylacetat Kosher Halal,0.08096,1754-62-7,Methyl-trans-cinnamat Halal,0.07972,0.291,2445-77-4,2-Methylbutylisovalerat,0.18116,142-92-7,Hexylacetat Kosher Halal,0.10644,1754-62-7,Methyl-trans-cinnamat Halal,0.07035,103-26-4,Methyl-trans-cinnamat,0.07027,124-07-2,Octansäure,-0.06045,0.5143,142-92-7,Hexylacetat Kosher Halal,0.15431,120-72-9,Indol Halal,0.09939,659-70-1,Isoamylisovalerat Kosher Halal,0.09837,111-27-3,Hexanol Kosher Halal,-0.08088,123-92-2,Isoamylacetat Halal,0.05144
185.664,-1.0511,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,-0.18909,116-53-0,2-Methylbuttersäure Halal Kosher,-0.18811,142-62-1,Hexansäure kräftig,-0.16212,100-52-7,Benzaldehyd Kosher Halal,0.16119,105-54-4,Ethylbutyrat Kosher Halal,-0.13934,2.1158,100-52-7,Benzaldehyd Kosher Halal,0.69622,868-57-5,Methyl-2-methylbutyrat,0.32468,33467-73-1,cis-3-Hexenylformiat Kosher Halal,0.3231,118-71-8,Maltol Kosher Halal,0.24822,3658-77-3,Furaneol Halal,0.23318,3.4764,33467-73-1,cis-3-Hexenylformiat Kosher Halal,0.90585,109-52-4,Valeriansäure Kosher Halal,0.42901,868-57-5,Methyl-2-methylbutyrat,0.42567,6728-26-3,trans-2-Hexenal Kosher Halal,0.18584,3658-77-3,Furaneol Halal,0.17715,-0.1123,33467-73-1,cis-3-Hexenylformiat Kosher Halal,-0.2798,3658-77-3,Furaneol Halal,0.22831,431-03-8,Diacetyl Halal,0.17471,118-71-8,Maltol Kosher Halal,0.14044,109-52-4,Valeriansäure Kosher Halal,-0.10347
185.675P,-3.8373,695-06-7,gamma-Hexalacton Halal,-0.70996,105-53-3,Diethylmalonat Halal Kosher,-0.67821,16409-45-3,Menthylacetat,-0.64146,713-95-1,delta-Dodecalacton Halal,-0.4831,105-54-4,Ethylbutyrat Kosher Halal,-0.20837,2.401,105-53-3,Diethylmalonat Halal Kosher,0.45808,695-06-7,gamma-Hexalacton Halal,0.44786,713-95-1,delta-Dodecalacton Halal,0.37439,6728-26-3,trans-2-Hexenal Kosher Halal,0.3677,111-27-3,Hexanol Kosher Halal,0.2935,-0.7905,6728-26-3,trans-2-Hexenal Kosher Halal,0.36255,16409-45-3,Menthylacetat,-0.34325,78-70-6,Linalool ex HO,-0.23,111-27-3,Hexanol Kosher Halal,-0.18551,695-06-7,gamma-Hexalacton Halal,-0.1629,-0.6315,16409-45-3,Menthylacetat,-0.5988,713-95-1,delta-Dodecalacton Halal,-0.41198,111-27-3,Hexanol Kosher Halal,0.39337,105-53-3,Diethylmalonat Halal Kosher,-0.13086,695-06-7,gamma-Hexalacton Halal,-0.1155
