Rez.-Nr.,PC1,PC2,PC3,PC4,PC5,Dominant_OT
185.028,0.6504075477931944,0.5532361144608249,-0.9099483445370188,-1.4474048665497397,-9.558880250389292,fresh
185.043P,-0.5093086655726727,-0.1336866744862003,0.06324080463809582,-1.641928593947363,-1.6517952026110356,odorless
185.044,-0.5093729324309992,-0.13358039377957925,0.06347343042348194,-1.6423799729855344,-1.6517755884078762,odorless
185.046,-0.6316567252671739,-0.15476897541132908,0.0021848775575650193,-0.8899329057864421,-0.04302330391123413,fresh
185.086,-0.77207277099943,-0.07170709859404956,0.023990202216170254,-1.5611508185826608,-0.5767522366406259,odorless
185.090P,-0.09732367391102886,0.6251664621751658,0.1683929577776271,-1.21401345062712,-0.4504442706483895,odorless
185.091,-0.5220604861845751,-0.12292144635645358,0.02845923886891485,-1.1054283964089762,-0.47261238878984857,odorless
185.133,-0.5756368375911847,-0.08957851623440703,0.02882845752169987,-1.3271301622918368,-0.49718782561229075,odorless
185.178HP,-0.39493268604162596,-0.5835545551847765,-0.8667693842049153,-0.13040315400010297,-0.8772819536340745,fruity
185.237H,-0.42479640054988765,0.21017270917036715,-0.014212353786426001,-0.8248392248756633,-0.20584577409443422,odorless
185.239,-0.5821959286174003,-0.24461211775549302,0.0036713220702640436,-1.1057353906394602,-0.652957198215987,fruity
185.267,-0.5006309874466546,-0.21016793889148658,1.117550939896902,-0.7384744801247439,-0.18852481275395813,odorless
185.291,-0.4908579909311517,-0.0890159994722481,-0.06170840278335349,-0.9196311180815703,-0.6016082368346143,fruity
185.294,-0.6180456585250111,-0.014391874046729211,-0.05696723523097046,-1.122277368658276,-0.46061367659307745,fruity
185.309P,21.335808546369414,30.386437465249827,1.886979526404401,1.691527021276274,0.9246747387572111,fruity
185.314,-0.5160822372556821,-0.054978332412980994,-0.21656881172493114,-0.5118421017996155,-0.42448207588962833,odorless
185.321,-0.32931638514696887,0.06092492452211902,-0.7603063213114354,0.3533458179273527,0.5443871385909258,fruity
185.339P,0.3454429973849397,-0.8837210366611404,2.1663311573091346,-1.702096058049931,-0.7458575409826768,odorless
185.382P,0.7543894678449043,-1.690901281427578,-6.629630743075887,17.69542649947927,-5.848782362106168,fruity
185.471,-0.3154875504503142,0.017203059405029454,-0.5063588282127544,-1.1111590560620663,0.028413363882390262,fruity
185.507P,-0.9748781782625895,-0.1758131175977562,0.2588842209877473,-2.1022226865369986,-0.5605418584120667,odorless
185.513P,-0.5186468624444356,-0.6138750661195809,1.1619282972589673,1.1958136530176933,0.8605612444612234,fresh
185.514,-0.6828950334499136,-0.1375319098998359,0.04290132608042384,-1.334525108636177,-0.4577735756914908,odorless
185.578P,-0.6659004966594729,0.06571107673903895,-0.7647609497964144,0.23502178593558817,0.011266966690201587,fruity
185.615,-0.3084492355067889,0.9996344368046909,-0.572478516473669,-0.044317059321916145,0.19866578575219127,fruity
185.621P,-0.4836948330715002,0.00022904551932467694,-0.3333377686578132,-0.14997047078771286,-0.06861081251810174,fruity
185.644P,-0.5193833181063968,-0.0850271649196303,-0.3757531388256427,-0.28133838374105147,-0.18355406785693248,fruity
185.664,-0.5366987836722217,-0.01941718802455801,-0.312002927715575,-0.3641836716265641,0.021129876025663703,fruity
185.675P,-0.5825885727106096,-0.1766970557677718,-0.11931171139922205,-0.44669026757564156,-0.4034338477417903,odorless
185.727P,-1.2723864014218595,-0.3076943137307028,3.2929849048295896,-3.459845587702817,-0.8248987605031561,warm
185.741P,-0.421351419041804,0.22497798790162413,0.026951363566925474,-1.059115634438569,-0.35759940661515727,odorless
185.748P,0.9748390223346896,1.8046204892280735,-1.9030992076419917,3.463236185087424,2.4399787750310105,fruity
185.796P,-0.9802924711035939,-0.19997674647148792,0.30511660800374807,-2.360082112526623,-0.8740991446678155,odorless
185.902P,0.8156718418165112,-1.4077691197934386,0.04222483791317276,-0.06392826172938179,1.8149595844240007,fruity
185.922P,-0.22702485063007682,-0.25795038877532156,-0.14772438127829413,-0.47899432607492765,1.1087775135806581,fruity
185.984P,-0.39886314204084883,0.04766164279738909,-0.08750704933695919,-0.6259355157380599,0.8096065329223207,fruity
186.179P,-1.5144652668454857,-0.2824586545653418,0.4109380090074748,-3.481072454123829,-0.9034129445979097,warm
186.190P,-0.540030526889831,-0.25500284968966436,-1.0176583437563778,1.3121905816472283,1.9302416762873682,fruity
186.192,-0.53039078024475,-0.2504181745777825,-1.00070440982721,1.4094459020348868,2.06319857288801,fruity
186.277P,-0.21865775880320792,0.6741959757556807,-0.33070466424002815,-0.06631326215601566,0.15604746584499948,fruity
186.293P,0.021280531841626336,1.0654472139523876,0.3551280166576253,-1.6136614991754485,-0.649163241265225,odorless
186.395P,0.4430542958100328,0.8376858479181741,1.0631152862430506,-1.090696151750508,-1.0857952809739269,warm
186.396P,0.3810914207356875,0.7678853522273837,0.987211152423948,-1.0384422660689656,-0.7308509032526068,fruity
186.490P,-0.8219580027581457,-0.7858871977271151,-0.5968962191000815,-0.7888195467724591,9.40850475766772,fruity
186.569P,-0.08453735378767822,0.466039013500784,-0.7115121320792683,-0.8390112190721358,-0.25328982931135074,fruity
186.821,-0.5754828765073641,-0.0897150814635639,0.029780312688939756,-1.3292424019441702,-0.4970586206072782,odorless
186.950P,-1.8209742257104664,-0.49926315995625636,-2.0537529579937113,4.62613002183009,24.197969035324387,fruity
186.981P,-0.21536496383467416,-0.5183747144275092,-0.2199642015840404,0.5852718491517998,-0.2906821807550917,fruity
186.985P,0.9032046959638282,-1.4242424868797023,0.16305063089658978,-3.5828448675513913,-1.8898705241725442,fruity
187.004P,31.775641595522572,-20.708257302218968,0.10787248745698184,-1.802118071419898,1.4100589995114055,fresh
187.015P,-1.5346882464143736,-2.4151463442247145,31.536997927324613,10.618752560351318,0.19955486652574536,fruity
187.061P,-1.0403496129893361,-0.17975384828728053,1.4207471862132908,1.6928218157427435,-0.5896843107441602,fruity
187.064P,-0.2981453291499888,-0.21698287033454627,-1.0033941864260894,1.0922821628934818,-0.6083377338566767,fruity
187.119P,-0.5891340189301464,-0.0661356848350738,0.12263347975900611,-1.2542642221484768,-0.4382577612013587,odorless
187.167P,-0.3644414984414541,0.11738970771749872,-0.38546088308105025,-1.3679775891252732,0.40333094197579317,fruity
187.246P,-0.25432485135084887,-0.10464113892682222,0.53491650022974,-0.9587571134407789,0.1553378874330522,fruity
187.365,-0.34013731611038,0.11929161399943349,-0.6649390223000226,0.452599638662136,0.31060190101400287,fruity
187.414P,-0.5676917287625198,-0.06287773729196486,0.0070877513417612155,-1.3077107520255011,-0.5110567316010446,odorless
187.482P,0.7543894678449043,-1.6909012814275777,-6.629630743075888,17.69542649947927,-5.848782362106169,fruity
187.483P,0.04389122171994556,0.0759948434690324,-0.5199156545900486,-0.786039755214812,-0.2657991723866872,fruity
187.507P,0.3816621307133114,0.7689415260361709,0.9871377134549605,-1.0389859153970522,-0.7312808626420784,fruity
187.519P,-0.6923716360648003,-0.291180446173889,-1.1291910782241783,0.9754678370178556,0.7343698833098322,fruity
187.521P,-0.586086882753856,0.06007906191526833,-0.2380780598272591,-1.1419994206220716,-0.9284435001887112,fruity
187.522P,-0.4746345866551787,-0.17536163475543645,-0.10543693344078191,-1.269229877543105,-0.6470684234161148,fruity
187.567P,-0.5960446723759069,0.036416232203458555,-0.17490307427324056,0.48270266611959983,0.16826398260333264,fruity
187.571P,-0.46174114092968477,0.40455533823622214,-0.22531985749912514,-0.38726288509728823,0.8912821282942678,fruity
187.608P,-0.3907786058146548,0.079116073664953,-0.6561140969715265,0.6348935042861881,0.10937552245616516,fruity
187.657P,-0.4480156227921755,0.0687173146649796,-0.3443232559588713,-0.08807005847608786,0.3437663329352087,fruity
187.662P,-0.7072086664583942,0.13974655983699635,-0.010584194818584693,-0.9356647120195788,0.5137519322958847,fruity
187.694P,-0.5999048974443284,-0.005336104238410013,-0.8612201827692882,1.2187327809026658,3.6311136019200156,fruity
187.695P,-0.5975110100018187,-0.043502354317493275,-0.0517847892386613,-0.8520550425997369,0.36973983617484346,warm
187.746P,-0.8405194052747609,-0.4853963436630211,0.2522646571849586,-1.2008194180592828,-1.0875464696894055,fresh
187.752P,-0.8065819754086992,-0.19113644471013855,-0.36496383756427997,-0.015313660646013966,0.19450050843003971,fruity
187.753P,-0.8081559826276148,-0.19069247061474784,-0.37561170433799934,-0.006548810963948526,0.19733125442827076,fruity
187.772,0.7210736289446481,0.7974697112966542,1.0540565974975624,-2.650900780276051,-0.8710111507710877,warm
187.773P,0.7386146253971605,0.5988402200283617,-0.6685231948332699,0.7008275591287637,-0.7415360322369137,odorless
187.776,0.078886281791871,0.7544222787243611,-0.3864612712327241,-0.16810126811781043,-0.43611472645430266,fruity
187.783P,-0.41810746230886,-0.19560555510476577,-0.025586884250069906,-1.0380722365915798,-0.6837562408063931,odorless
187.786P,-0.4447714784723319,0.004485211196017783,-0.37143996374759397,-0.6145337741874511,-0.229302424618778,odorless
187.787P,-0.4606487465772916,-0.06211800180038116,-0.2746701284810635,-0.5498227611012731,-0.3729295319356414,odorless
187.791P,-0.13723305358671214,-0.0875720741337369,-0.4020402723457915,-0.5003446078978413,-0.6727839218866432,fruity
187.796P,-0.5662807011484992,0.16959003402340173,1.5439483457763894,0.909496036871282,0.7418747935113666,fruity
187.799P,-0.6006358570822912,-0.11798831002726434,0.08728243674062926,0.1259854109250485,0.21223230910023064,fruity
187.800P,-0.5005282263059765,0.0292566288680846,0.0580000595407519,-0.9662962845744999,-0.3877511940283559,odorless
187.826P,-0.5415392124511215,-0.052646191837817186,0.16480769219779176,-1.2540551168184566,-0.41057704388635563,fruity
187.829P,-0.6043636177001709,-0.1118112583718481,0.0575928091135127,-1.1286051693155124,-0.2515186426837304,odorless
187.834P,-0.4386760745703246,0.03377426623838143,-0.5292236610470401,-0.014417725010668268,-0.18262917253589592,fruity
187.843P,-0.6196784468573421,-0.133220746651319,0.01036067412990791,-0.6983377636652042,-0.533483408624419,odorless
187.870P,-0.4798893164126177,0.05256390787304,-0.09802051577673616,-0.7806958864850698,-0.1229193788996294,odorless
187.871P,-0.5791337495619066,-0.15576375294125136,-3.9015455874370524,8.173828201113265,2.706822653707906,fruity
187.885P,-0.7391546531459321,0.15518813966216646,-0.21632578226105284,-0.9327668176890483,1.9830002822832942,fruity
187.886P,-0.40688266844814736,-0.23645158468025612,0.061150231600259335,-1.2273369969143475,-0.8616450916149091,fruity
187.892P,-0.2974985696736198,-0.32439383668036365,-0.5400435683608247,-0.16562296777370686,0.7222423325060804,fruity
187.893P,-0.7414016379577604,-0.4255286026416285,-0.9586494375718777,1.3627902479789757,-0.15659796791699035,fruity
187.894P,-0.09862609881742077,-1.463422177707705,0.917595175380928,1.5613243125257465,-2.800245465795865,fruity
187.895P,-0.217265366830519,0.2430993869259415,-0.05305351409227853,-1.1363443681128749,-0.9167945620597497,odorless
187.896P,-0.4117807829993653,0.3127682932824161,-0.005672646474005301,-1.1645730082075536,-0.0455595650653695,odorless
187.897P,-0.46139142475994466,-0.040457308826370206,-0.4180440970003852,-0.5659367108290074,0.2353342693836277,fruity
187.907,-0.5194512485909597,-0.05564025285476914,0.13450014099670146,-1.1890889509728388,-0.3941108061975086,fruity
187.914P,-0.04595228201441197,0.6172775310699963,-0.18961068974506282,-0.6153255375486939,-0.08312574865329865,fruity
187.916P,-0.5053926013075446,0.017960353095034232,0.056975172956161224,-0.9755355326849197,-0.3859308578359666,odorless
187.920P,-0.5647328643743362,-0.2871036507304396,-0.026018088036112934,-1.1113638590736012,-0.09611490178723392,fruity
187.923P,-0.6354686297045639,-0.17097839737056691,-0.07330064445503373,-0.6774915948044066,-0.3764417490251053,fruity
188.118P,-0.5839422949442471,0.025852825686165995,-0.34441695383350257,-0.5779165708392575,0.36378199208925743,fruity
188.375P,-0.5986205498275433,-0.11884677561898359,-0.08053209210632556,-1.4055992078058746,-0.8928202893495502,odorless
188.402P,-0.541454088807827,-0.052655073012064256,0.16455433760911237,-1.2538311735128187,-0.41078180000246944,fruity
188.412P,-0.5491570696431982,-0.3270641261068091,-1.2705030037473932,2.3190657537743524,-0.9119448033884935,fresh
188.462KHP,-1.2507972505759726,-0.1976459499784206,-3.566122818240701,6.667106097296689,-0.506597405216976,fruity
188.481KHP,-0.6615040797380985,0.3053284581447881,-0.2734414417674595,-0.3758715673568394,-0.12803772763092028,warm
188.491P,-0.5788512914739489,-0.01924856253618788,-0.25870522812817964,-0.4385265687090251,0.17087049689753003,fruity
188.560P,-0.4580175940967575,-0.14177340417010373,-0.08784788549695562,-0.7024632272257674,0.04128174900984332,odorless
188.628P,0.38166213071331095,0.768941526036171,0.9871377134549603,-1.0389859153970518,-0.7312808626420777,fruity
188.639P,-1.1746515691786,0.008333561643035907,-0.18518823904818005,-2.134610967977885,-1.0220287817475031,fruity
188.656P,-0.4925413901510928,-0.06630788328278202,0.033649502914541385,-1.0340270901274953,-0.36042786065307914,fruity
188.668P,-0.20547051162624436,-0.3543077763800196,0.12479665511393188,-1.1850597576816724,-0.7973178455378584,fruity
188.740P,0.34674521455220214,-0.6112658551547917,0.01928068154511477,2.91578294592228,-1.6201211863705902,fruity
188.819,-0.5093729324309946,-0.1335803937795731,0.0634734304234814,-1.642379972985537,-1.6517755884078804,odorless
188.820,-0.47192889017609774,-0.019723826675711185,-0.45095582257037314,0.4090135904125803,0.41944974368090776,fruity
188.822,-0.6015399902524049,0.032444752352275806,-0.1992661367945372,-0.6652430222377238,0.35313525822804676,fruity
188.866,-0.5858808963490262,-0.057655393001916695,0.2220904508788355,-0.9575411504248201,-0.20342637863700186,odorless
188.894,-0.42387674820718785,-0.3211433818254394,-0.5469638599929972,-0.3759448807652796,-0.6334211145085352,fruity
188.976,-0.7646156565904959,-0.058590112844942324,-0.8680018758903784,1.5005191570266634,0.4585555910515554,fruity
188.977,-0.26221937458925226,0.1600917351144193,-0.6243310952700972,-1.065589571372908,0.20939977532417944,fruity
188.992,-0.42752470837148815,-0.146584906086343,0.11985932607612111,1.596018865805147,-0.44991623408354525,fruity
189.012,-0.2690508630188382,0.20200417567449078,-0.16904657699121878,-0.7788159131525624,-0.26261385439738005,fruity
189.014,-0.6009554341338785,-0.11217854208558613,-0.0760367376145815,-0.8258868654507197,0.6020602403948034,odorless
189.051,-0.9165734376106156,-0.4686622424820374,-1.6981257829085992,2.5237338357337595,4.199151992137287,fruity
189.068,-0.579331180397906,-0.12775492633294774,0.012080422757656433,-1.120488306064202,-0.437019982487518,odorless
189.075,-0.6202331340666424,0.08052338482961642,-0.40794138439165795,-0.48233217029617337,0.05777223852750189,fruity
